Rate your Algorithms skill out of 100,Rate your Programming Concepts out of 100,Rate your Computer Networks out of 100,Rate your Electronics Subjects out of 100,Rate your Mathematics out of 100,Rate your Communication skills out of 100,Hours working per day,No. of Participted hackathons, Rating coding skills out of 10,self-learning capability?,certifications,workshops,Interested subjects,Job/Higher Studies?,Type of company want to settle in?,interested in games,Management or Technical,worked in teams ever?,Career
63,78,94,94,84,61,9,0,4,yes,shell programming,cloud computing,cloud computing,higherstudies,Web Services,no,Management,yes,Database Developer
62,73,71,70,84,91,12,1,2,no,machine learning,database security,networks,job,SAaS services,yes,Technical,no,Database Administrator
86,91,61,81,72,94,11,4,1,no,app development,web technologies,hacking,higherstudies,Sales and Marketing,yes,Management,no,Database Administrator
87,60,89,73,88,69,7,1,2,yes,python,data science,networks,higherstudies,Testing and Maintainance Services,no,Management,yes,Database Developer
62,90,71,89,71,73,4,4,6,no,app development,cloud computing,Computer Architecture,higherstudies,product development,yes,Management,yes,Systems Analyst
86,62,93,84,71,82,11,3,8,yes,python,database security,programming,job,Testing and Maintainance Services,yes,Management,yes,Software Engineer
77,69,90,93,63,77,6,2,3,no,r programming,cloud computing,parallel computing,job,BPA,no,Technical,yes,Database Developer
72,88,66,63,94,60,12,1,6,no,r programming,cloud computing,parallel computing,higherstudies,BPA,no,Technical,no,Systems Analyst
66,66,81,69,87,90,10,2,4,yes,information security,testing,IOT,higherstudies,BPA,no,Technical,yes,Systems Analyst
76,85,82,69,63,81,10,0,5,no,app development,data science,data engineering,job,product development,no,Management,yes,Solutions Architect
80,70,61,82,94,89,8,2,3,no,hadoop,database security,parallel computing,higherstudies,Sales and Marketing,yes,Management,yes,Solutions Architect
76,81,70,72,89,85,8,6,9,yes,machine learning,hacking,parallel computing,higherstudies,Testing and Maintainance Services,no,Management,yes,Design & UX
64,61,61,70,64,79,8,2,8,no,distro making,game development,cloud computing,higherstudies,Service Based,no,Technical,yes,Solutions Architect
93,77,77,81,81,91,12,3,6,no,python,testing,parallel computing,higherstudies,Testing and Maintainance Services,yes,Management,yes,Systems Analyst
83,66,65,67,63,62,9,2,3,no,machine learning,hacking,Software Engineering,job,Testing and Maintainance Services,no,Management,yes,Database Administrator
71,63,61,69,62,68,4,6,5,yes,information security,system designing,networks,higherstudies,Testing and Maintainance Services,no,Technical,no,Software Engineer
92,94,62,94,73,60,11,5,5,no,app development,hacking,IOT,job,Sales and Marketing,yes,Technical,yes,Software Engineer
86,61,64,65,65,60,4,6,3,yes,hadoop,web technologies,hacking,job,product development,yes,Management,yes,Information Security Analyst
91,68,78,61,82,82,12,0,7,no,machine learning,testing,Computer Architecture,higherstudies,Web Services,no,Technical,yes,Systems Analyst
73,90,63,88,60,69,12,0,2,yes,hadoop,system designing,parallel computing,job,SAaS services,no,Management,no,Information Security Analyst
61,66,93,91,88,70,4,0,2,yes,app development,game development,parallel computing,higherstudies,Product based,no,Technical,yes,Database Developer
61,73,89,74,60,84,5,3,2,yes,hadoop,system designing,hacking,higherstudies,BPA,no,Management,yes,Systems Analyst
62,70,67,65,61,65,4,6,4,no,r programming,system designing,cloud computing,job,BPA,yes,Management,no,Database Administrator
89,66,86,61,80,69,9,5,7,yes,shell programming,testing,data engineering,job,Service Based,no,Management,no,Database Developer
